density,avg_speed,d_density,d_speed,neighbor_density,neighbor_speed,flow_variance,label
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.2547,1,0.0,1,1.1844,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
2,1.1817,1,-0.073,1,1.1844,0.035,0
1,1.1844,0,0.0,2,1.1817,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.1086,-1,-0.073,1,1.2547,0.0,0
1,1.2547,0,0.0703,1,1.1086,0.0,0
1,1.2547,1,0.0,1,1.1086,0.0,0
1,1.0544,0,-0.0542,1,1.1086,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.1086,0,-0.1461,1,1.0544,0.0,0
1,1.2547,0,0.0,2,1.0815,0.0,0
2,1.0815,1,-0.0271,1,1.2547,0.0,0
1,1.0627,1,0.0,0,1.0627,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.3569,0,0.2941,1,1.0627,0.0,0
1,1.0627,1,0.0,1,1.3569,0.0,0
1,1.1844,0,0.0,2,1.1817,0.0,0
2,1.1817,1,-0.073,1,1.0544,0.0008,0
1,1.0544,-1,-0.0271,2,1.1817,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
2,1.2098,1,0.1471,0,1.2098,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.1086,-1,-0.073,1,1.0544,0.0,0
1,1.3888,1,0.0,1,1.0544,0.0,0
1,1.2547,0,0.0703,1,1.1086,0.0,0
1,1.3888,0,0.0,0,1.3888,0.0,0
2,1.2098,0,0.0,0,1.2098,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.0544,1,0.0,1,1.1086,0.0,0
1,1.2547,0,0.0703,1,1.1844,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
2,1.2098,2,0.0,0,1.2098,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.1669,0,-0.2219,1,1.3888,0.0,0
1,1.2547,0,0.0,1,1.1086,0.0,0
1,1.3888,1,0.0,1,1.0544,0.0,0
1,1.1086,1,0.0,1,1.0544,0.0,0
1,1.3414,1,0.0,0,1.3414,0.0,0
2,1.1817,1,-0.073,1,1.0544,0.0002,0
1,1.0544,0,-0.0542,2,1.1817,0.0,0
1,1.1669,0,-0.2219,1,1.3888,0.0,0
2,1.2098,0,0.0,0,1.2098,0.0,0
1,1.3888,1,0.0,1,1.0544,0.0,0
1,1.1844,0,0.0,2,1.1817,0.0,0
1,1.1669,0,0.0,1,1.042,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.2547,1,0.0,1,1.1086,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.1086,-1,-0.073,1,1.0544,0.0,0
1,1.042,1,0.0,1,1.1669,0.0,0
1,1.0627,-1,-0.1471,1,1.3414,0.0,0
1,1.3414,1,0.0,1,1.0627,0.0,0
1,1.3888,0,0.0,1,1.0544,0.0,0
2,1.2216,1,0.1672,1,1.1086,0.0,0
2,1.2098,1,-0.1471,0,1.2098,0.0,0
1,1.3414,0,0.0,1,1.3688,0.0,0
1,1.2547,0,0.0,1,1.1086,0.0,0
1,1.1669,0,0.0,1,1.042,0.0,0
1,1.042,0,0.0,1,1.1669,0.0,0
